"report_date","movie_title","show_time","general_qty","discount_qty","group_qty","live_qty","total_tickets","gross_total","source_type","source_ref","source_file","price_general","price_discount","price_group","notes"
"2026-03-07","Hoppers","7:30 PM","31","23","2","0","56","421.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-6-26 Hoppers.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-03-08","Hoppers","2:30 PM","0","69","3","0","72","460.50","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-6-26 Hoppers.xlsx","8.50","6.50","4.00","Imported from legacy weekly grosses workbook"
"2026-03-13","Hoppers","7:30 PM","14","13","0","0","27","272.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-13-26 Hoppers.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-15","Hoppers","2:30 PM","0","22","0","0","22","176.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-13-26 Hoppers.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-20","3–20-26 Project Hail Mary","7:30 PM","17","14","1","0","32","321.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-20-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-21","3–20-26 Project Hail Mary","7:30 PM","16","6","4","0","26","260.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-20-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-22","3–20-26 Project Hail Mary","2:30 PM","0","42","0","0","42","336.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-20-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-27","Project Hail Mary","7:30 PM","18","19","2","0","39","378.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-27-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-28","Project Hail Mary","7:30 PM","22","14","2","0","38","386.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-27-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
"2026-03-29","Project Hail Mary","2:30 PM","0","21","3","0","24","183.00","legacy_excel_import","legacy_excel","I:\My Drive\Grosses\2026\3-27-26 Project Hail Mary.xlsx","12.00","8.00","5.00","Imported from legacy weekly grosses workbook"
